Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,parseAllocationFailure,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,parsePassiveHeuristics,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,parseSingleSystemGCEvent,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,parseSeveralSystemGCEvents,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,parseJdk11,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,parseJdk17,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentReset,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testPauseInitMark,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentMarkingRoots,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentMarking,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentPrecleaning,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testPauseFinalMark,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentThreadRoots,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentWeakReferences,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentWeakRoots,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentCleanup,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentClassUnloading,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentStrongRoots,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentEvacuation,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testPauseInitUpdateRefs,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentUpdateRefs,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentUpdateThreadRoots,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
imp,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testPauseFinalUpdateRefs,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
